,log2FoldChange,pvalue,padj
ENSMUSG00000023990,0.4011622400872848,0.012380024484332928,0.038822408942331035
ENSMUSG00000023991,0.04339306922323289,0.6207520253478691,0.7532649940537414
ENSMUSG00000023992,0.6617101019014258,0.13275845612999945,0.254774121092736
ENSMUSG00000023994,0.16936889165010405,0.07855518425427488,0.1709391810714235
ENSMUSG00000024002,-0.288816874432366,8.531035597039211e-10,9.421363274870412e-09
ENSMUSG00000024006,-0.002023533160769962,0.9664416199905086,0.9808632770860808
ENSMUSG00000024007,0.3236707740759903,0.01176862053598634,0.03717179469212216
ENSMUSG00000024012,-0.011814293895400797,0.8285930752186466,0.8988019734631268
ENSMUSG00000024013,0.2386775428865282,0.1612110219662981,0.2941346653080377
ENSMUSG00000024014,0.06913582072853404,0.5380582839526802,0.686207249740354
ENSMUSG00000024018,-0.14822937236635322,0.27629146742260324,0.4354051204999052
ENSMUSG00000024019,0.018480821205320547,0.7443695411231765,0.843305799293511
ENSMUSG00000024026,-0.3246036938420697,1.4573266535762232e-62,7.120147533089655e-61
ENSMUSG00000024029,1.3887728777733512,8.963537661213177e-15,1.3769956015071665e-13
ENSMUSG00000024030,0.08209225486975728,0.5329983479518082,0.6820523409886422
ENSMUSG00000024036,-0.2557940508192221,0.19413251990419053,0.3362826460099216
ENSMUSG00000024037,0.042823567934055166,0.6598839851298736,0.7850161281888136
ENSMUSG00000024038,-0.09731740769103292,0.09400704356626668,0.19652923483519125
ENSMUSG00000024039,0.17021234349369802,3.3741659853540555e-23,7.527998359520413e-22
ENSMUSG00000024042,-0.2424014322921606,0.0109980198787574,0.03503888339004034
ENSMUSG00000024043,0.6081441074799361,0.22918329382744362,0.3817825715798341
ENSMUSG00000024044,0.12412251775665364,0.5699573294531133,0.7124005188978803
ENSMUSG00000024045,-0.1895137714065306,0.0013499037466597852,0.005854259535022591
ENSMUSG00000024048,0.1769874141433024,0.0002729173401167114,0.001401153100970546
ENSMUSG00000024049,-0.006408467155954174,0.9813012925396509,0.9893757366629445
ENSMUSG00000024050,-0.18338123740510592,0.037746560274439164,0.09643705842744767
ENSMUSG00000024052,0.05427114914369733,0.00013342090888724363,0.0007341002894904328
ENSMUSG00000024053,0.335867566487476,0.13313053632646538,0.25536120640381405
ENSMUSG00000024054,0.04174880198003244,0.5939746963966037,0.7313970150782296
ENSMUSG00000024055,-0.2714416420551735,1.7975044460849457e-09,1.936613478234855e-08
ENSMUSG00000024056,1.5405412659866662,0.05385537973873604,0.12735077466477956
ENSMUSG00000024059,0.16653047048891342,0.7336531867187597,0.835499856144496
ENSMUSG00000024063,0.2162238954815146,0.07641027636945104,0.1676422135665702
ENSMUSG00000024065,-0.038167452437273194,0.3279668381979135,0.4914568586758795
ENSMUSG00000024066,0.20308452549450656,3.9610745997219044e-14,5.8802914177987e-13
ENSMUSG00000024067,0.013548841244153727,0.896545924416362,0.9403378075451232
ENSMUSG00000024068,0.12404040595125587,0.06984921834614047,0.15597368846486298
ENSMUSG00000024069,-0.03119462744549381,0.7619051101555305,0.855121619343649
ENSMUSG00000024070,-0.47541858115679836,5.6087377153121854e-99,3.6537258053461954e-97
ENSMUSG00000024072,0.02879130657694229,0.6863866954738793,0.8029991265205499
ENSMUSG00000024073,-0.27368341883236996,2.48755794546632e-21,5.078380376309976e-20
ENSMUSG00000024074,-0.030077000799440465,0.7244512704387503,0.830102654319717
ENSMUSG00000024077,-0.18058641464986772,0.022245233484921127,0.06275245016877348
ENSMUSG00000024078,0.1646979995491513,0.1781647830820138,0.3165346474111866
ENSMUSG00000024079,0.10748339998937698,0.13723612405401822,0.26129971121363255
ENSMUSG00000024081,-0.16480243676831005,0.0010677140593043867,0.004756040785228051
ENSMUSG00000024082,-0.07713158696208955,0.4507414840618985,0.6113159242689254
ENSMUSG00000024083,-0.12494440234887268,0.009245803404345736,0.030424305270933524
ENSMUSG00000024084,-0.16195925538005518,0.17602463324831336,0.31381574049892724
ENSMUSG00000024085,0.018388844326230697,0.38752174216594515,0.5523401197655121
ENSMUSG00000024087,0.7273628895817057,0.06793283238900151,0.15277713026275225
ENSMUSG00000024091,-0.04976022412737161,0.283812506327798,0.44372468710834156
ENSMUSG00000024095,-0.09746360489883298,0.1622898748659659,0.2954609878652334
ENSMUSG00000024096,0.2621437508879052,9.375164757069792e-05,0.0005307780296457665
ENSMUSG00000024097,-0.11460547109824704,0.10022463059975553,0.20582177066103027
ENSMUSG00000024098,0.09262906913959028,0.050064584892571345,0.12022820441070291
ENSMUSG00000024099,0.017236332338530145,0.6785585994289662,0.7974019041394284
ENSMUSG00000024101,0.01098192360235351,0.9158318526422722,0.9525416311603369
ENSMUSG00000024104,0.018264525351614238,0.6938320149497994,0.8084583002875436
ENSMUSG00000024109,-0.24928515974455193,0.08872591826355528,0.18777785497889377
ENSMUSG00000024118,0.009247468056645405,0.7955493572678424,0.8778220788206275
ENSMUSG00000024120,-0.0327499490252273,0.2488673362774289,0.4052592347629179
ENSMUSG00000024121,-0.006218819701271797,0.8519080691313723,0.9140103321278149
ENSMUSG00000024122,-0.17948652778198393,0.000745150915298993,0.0034392780213157413
ENSMUSG00000024127,-0.029181457633614627,0.6114162957533795,0.7461002401978295
ENSMUSG00000024130,0.059701881124104746,0.13099783703910484,0.2522379011526353
ENSMUSG00000024131,0.3568010034987273,7.735851400494368e-19,1.4406973434527448e-17
ENSMUSG00000024132,-0.38664769506847263,1.7561251946522235e-23,3.9523056676728392e-22
ENSMUSG00000024135,0.3420657148683885,0.00019804433182778457,0.0010547107413208575
ENSMUSG00000024136,-0.13401504402057784,0.671274648112091,0.7928250682529508
ENSMUSG00000024137,0.18626617693763228,0.18095858954180688,0.32017186155580524
ENSMUSG00000024140,-0.11435763544626167,4.916751637715629e-06,3.512713027982027e-05
ENSMUSG00000024142,0.21748290764430397,0.0642095971636216,0.14627888012529935
ENSMUSG00000024143,-0.39105775153910116,0.000644169162362187,0.003023815049470904
ENSMUSG00000024145,-0.11873437654026368,0.5149120254666055,0.6664202163784829
ENSMUSG00000024146,0.0032474565036874465,0.9626128532955229,0.9790368802391026
ENSMUSG00000024150,0.22894828280115612,2.7891834563757847e-17,4.833019459369892e-16
ENSMUSG00000024151,-0.004047669562148856,0.9750701651312458,0.9856680599398484
ENSMUSG00000024155,-0.17620505577673368,0.19634259613730487,0.33869646276691057
ENSMUSG00000024158,0.312067320472197,1.143689915815739e-37,3.880753540720702e-36
ENSMUSG00000024160,0.11107007793268077,0.32959193504808204,0.4931740536157529
ENSMUSG00000024163,-0.12635003463168895,0.043332134521867544,0.10764746410690958
ENSMUSG00000024164,-0.23190533761495727,0.0,0.0
ENSMUSG00000024165,-0.17594316811064853,0.004495393820563593,0.01642707341909617
ENSMUSG00000024168,-0.2843724748332843,0.0033550346663792727,0.012843635064277112
ENSMUSG00000024169,0.13098033783003177,0.28669630675317587,0.4470111371402022
ENSMUSG00000024170,0.4078252642032746,0.012543639332797537,0.03920268171236056
ENSMUSG00000024174,-0.17675441052389448,0.28819128425565355,0.4485922584818954
ENSMUSG00000024177,-0.10585320271262243,0.7492375458140212,0.846875940392611
ENSMUSG00000024180,-0.1344637974547546,0.04116548872589824,0.10335004391851552
ENSMUSG00000024181,0.012129803053748198,0.8696819424109905,0.924789552233851
ENSMUSG00000024182,-0.08439935497397724,0.2940973934654085,0.455286238615506
ENSMUSG00000024187,-0.11323581568514271,0.035252100382497625,0.0912876849723886
ENSMUSG00000024188,-0.11044011598369868,0.058407691328342656,0.1357657853686062
ENSMUSG00000024190,-0.608536145824286,2.0100897956569207e-15,3.192775345179753e-14
ENSMUSG00000024191,0.2434651861334561,0.010162771132504963,0.03292823158756435
ENSMUSG00000024193,-0.3388457445503597,0.0008691615080317011,0.003951408869994533
ENSMUSG00000024194,0.25745126396135887,0.001696763134871434,0.007105523290058138
ENSMUSG00000024197,0.17591688941634354,0.015722208582520204,0.047298358983930124
ENSMUSG00000024201,-0.10160273314575981,0.3285537373288284,0.49219300898697677
ENSMUSG00000024206,0.22263605293342378,0.5867005883383671,0.7256324908560482
